Sprachen,Land,Suchbegriffe,passende Treffer
DE,DE,wählen| Wahl| E-Voting| Internetwahl| Stimmabgabe,1
,AT,wählen| Wahl| E-Voting| Internetwahl| Stimmabgabe,3
,CH,wählen| Wahl| E-Voting| Internetwahl| Stimmabgabe,3
SWE,,rösta| val| röstning| e-röstning| Internetröstning,0
NO,,stemme| valg| E-valg| internettvalg| elektronisk stemmegivning| elektronisk valg,9
DK,,stemme| valg| E-valg| Elektronisk afstemning| internetafstemning| elektronisk valg,0
FI,,äänestys| äänestäminen| äänestää| vaali| Sähköinen äänestys| internet äänestys,0
ISL,,kjósa| kosningar| kosning| rafræna kosningu| netkosningu,0
FR,FR,voter| votation| élection| Vote électronique| Vote internet,1
,BE,voter| votation| élection| Vote électronique| Vote internet,6
NL,NL,stemmen| verkiezing| Elektronisch stemmen| internetstemmen| internet stemmen,5
,BE,stemmen| verkiezing| Elektronisch stemmen| internetstemmen| internet stemmen,4
IT,,votare| votazione| elezione| votazione elettronica| Voto internet,0
ESP,,votar| votación| elección| elecciones| Voto electrónico| Voto internet,18
GR,GR,ψηφίζω| εκλογή| εκλογές| ηλεκτρονική ψηφοφορία| διαδικτυακή ψηφοφορία,0
,CYP,ψηφίζω| εκλογή| εκλογές| ηλεκτρονική ψηφοφορία| διαδικτυακή ψηφοφορία,0
PT,,votar| votação| eleição| Voto Electrónico| Votação Electrónica| votação internet,1
EN,UK,vote| voting| election| E-voting| electronic voting| internet voting| I-Voting,1
,IE,vote| voting| election| E-voting| electronic voting| internet voting| I-Voting,3
BG,,гласу́ване| гласу́вам| и́збори| електронно гласуване| гласуване в интернет,0
CRO,,glàsānje| glàsati| glȁsovati| izbori| elektronsko glasovanje| internet glasanje,0
CZE,,hlasování| hlasovat| volby| elektronické hlasování| internetové hlasování,13
EE,,valima| hääletama| valimine| valimised| Elektrooniline hääletamine| e-hääletamine| i-hääletamine| elektrooniliste valimiste,1
HUN,,szavaz| választás| elektronikus szavazás| internetes szavazás,15
LV,,balsot| vēlēšanas| elektroniskā balsošana| interneta balsošana,0
LT,,balsuoti| rinkimai| elektroninis balsavimas| balsavimas|internetu balsuojama | internetinį balsavimą,8
PL,,głosować| głosowanie| wybory| Głosowanie elektroniczne| głosowanie przez Internet,3
RO,,vota| alegeri| elecțiune| votul electronic| votul pe internet,0
SK,,hlasovanie| hlasovať| hlasovania| voľby| Internetové hlasovanie| elektronické hlasovanie,4
SLO,,glasovanje| glasovati| volitve| elektronsko glasovanje| internetno glasovanje,7